report_id,report_text,sif_potential,activity,hazard,barrier_failure,life_saving_rule
231,A toolbox talk covered hot-work controls before welding.,LOW,Hot Work,Fire/explosion,Pre-task communication effective,Hot Work
232,Vehicle and pedestrian routes were separated using barriers.,LOW,Vehicle Movement,Vehicle-pedestrian collision,Traffic segregation effective,Line of Fire
233,A qualified electrician performed the electrical isolation.,LOW,Electrical Maintenance,Electric shock,Competency control effective,Energy Isolation
234,Worker reported a near miss and the area was made safe immediately.,LOW,Near-Miss Reporting,Potential uncontrolled hazard,Prompt reporting and corrective action effective,
235,Worker stayed clear of pinch points during equipment alignment.,LOW,Mechanical Maintenance,Crushing,Safe positioning effective,Line of Fire
236,Maintenance team installed mechanical blocks before working under raised equipment.,LOW,Mechanical Maintenance,Unexpected lowering,Mechanical isolation effective,Energy Isolation
237,Conveyor jam was cleared only after lockout and verification.,LOW,Conveyor Maintenance,Entanglement,Lockout/tagout effective,Energy Isolation
238,Gas monitoring was active throughout a permitted hot-work task.,LOW,Hot Work,Fire/explosion,Continuous gas monitoring effective,Hot Work
239,Worker waited for the crane load to be fully lowered before entering the area.,LOW,Lifting Operation,Dropped load,Safe positioning effective,Line of Fire
240,A supervisor verified that barriers were intact before work began.,LOW,Worksite Control,Unauthorized access,Barrier inspection effective,
241,Worker verified that the confined space had adequate ventilation before entry.,LOW,Confined Space Entry,Toxic atmosphere,Ventilation control effective,Confined Space
242,The worker verified the isolation by attempting a controlled start before maintenance.,LOW,Equipment Maintenance,Unexpected startup,Try-start verification effective,Energy Isolation
243,Worker returned all tools to storage after maintenance.,LOW,Housekeeping,Trip/object hazard,Tool control effective,
244,The excavation was monitored while heavy equipment operated nearby.,LOW,Excavation,Cave-in/struck-by,Exclusion and monitoring controls effective,Ground Disturbance
245,The team confirmed weather conditions were acceptable before elevated work.,LOW,Work at Height,Fall from height,Weather assessment effective,Working at Height
246,Worker used an inspected full-body harness with an approved anchor point.,LOW,Work at Height,Fall from height,Fall protection effective,Working at Height
247,Worker inspected the scaffold before climbing and confirmed the tag was valid.,LOW,Work at Height,Fall from scaffold,Scaffold inspection effective,Working at Height
248,A lifting aid was used for a heavy component to reduce manual handling.,LOW,Material Handling,Strain injury,Mechanical assistance effective,
249,The worksite stopped excavation when an unidentified service was discovered.,LOW,Excavation,Utility strike,Stop-work control effective,Ground Disturbance
250,The supervisor confirmed no one was under the suspended load before lifting.,LOW,Lifting Operation,Dropped load,Drop-zone verification effective,Line of Fire
251,Fire blankets were installed to protect nearby combustible materials during welding.,LOW,Hot Work,Fire,Spark containment effective,Hot Work
252,Machine guards were checked before equipment startup.,LOW,Machine Operation,Entanglement,Guarding verification effective,Energy Isolation
253,A toolbox talk covered energy isolation before equipment maintenance.,LOW,Equipment Maintenance,Unexpected startup,Pre-task communication effective,Energy Isolation
254,The team reassessed hazards after the work scope changed.,LOW,Safety Planning,Changing hazards,Dynamic risk assessment effective,
255,Supervisor confirmed that required PPE was available before work started.,LOW,General Maintenance,Exposure hazard,PPE readiness effective,
256,The confined-space attendant maintained communication throughout the task.,LOW,Confined Space Entry,Delayed rescue,Attendant control effective,Confined Space
257,Worker inspected the welding leads before starting the task.,LOW,Hot Work,Electrical/fire hazard,Equipment inspection effective,Hot Work
258,The team completed a job safety analysis before starting maintenance.,LOW,Safety Planning,Multiple hazards,Hazard assessment effective,
259,The team barricaded the area before moving a suspended load.,LOW,Lifting Operation,Dropped load,Barricade and exclusion controls effective,Line of Fire
260,Worker completed confined-space entry after gas testing showed safe conditions.,LOW,Confined Space Entry,Atmospheric exposure,Gas testing and permit controls effective,Confined Space
261,Worker verified PPE requirements before entering the work area.,LOW,Routine Operation,Exposure hazard,PPE compliance effective,
262,Hot-work equipment was kept away from gas cylinders and combustibles.,LOW,Hot Work,Fire/explosion,Separation control effective,Hot Work
263,The machine was tested at low speed with personnel outside the danger zone.,LOW,Machine Testing,Unexpected movement,Controlled testing effective,Line of Fire
264,Worker stayed outside the swing radius of the excavator.,LOW,Excavation,Struck-by injury,Exclusion zone effective,Line of Fire
265,Machine guard was reinstalled before the equipment was returned to service.,LOW,Machine Maintenance,Entanglement,Guarding control effective,Energy Isolation
266,Workers reviewed the communication plan before a complex maintenance task.,LOW,Maintenance,Miscommunication,Communication planning effective,
267,A barricaded area prevented pedestrians from entering the lifting zone.,LOW,Lifting Operation,Dropped load,Barricade effective,Line of Fire
268,The crane operator refused to lift until the drop zone was cleared.,LOW,Lifting Operation,Dropped load,Stop-work authority effective,Line of Fire
269,The work area remained barricaded until maintenance was fully completed.,LOW,Maintenance,Unauthorized access,Barricade control effective,
270,Worker used a designated safe route around a chemical transfer operation.,LOW,Chemical Handling,Chemical exposure,Area segregation effective,
271,Shift handover included details of all active equipment isolations.,LOW,Shift Handover,Unexpected startup,Isolation handover effective,Energy Isolation
272,The team used a controlled handover between shifts for ongoing maintenance.,LOW,Maintenance,Loss of safety information,Shift handover effective,
273,Workers maintained the required exclusion distance from operating machinery.,LOW,Machine Operation,Struck-by/crushing,Exclusion distance effective,Line of Fire
274,Worker stopped work when the required isolation could not be verified.,LOW,Equipment Maintenance,Unexpected energy release,Stop-work authority effective,Energy Isolation
275,Worker confirmed the emergency stop location before operating machinery.,LOW,Machine Operation,Unexpected movement,Emergency-stop readiness effective,Energy Isolation
276,A confined-space permit was suspended when ventilation failed.,LOW,Confined Space Entry,Hazardous atmosphere,Permit suspension and stop-work effective,Confined Space
277,Maintenance team completed a toolbox talk before a high-risk lifting task.,LOW,Lifting Operation,Dropped load,Pre-task planning effective,Line of Fire
278,The worker remained within the protected area while performing elevated work.,LOW,Work at Height,Fall from height,Fall protection effective,Working at Height
279,A trained worker used approved fall-protection equipment at height.,LOW,Work at Height,Fall from height,Competency and fall protection effective,Working at Height
280,The worksite maintained a clear emergency route throughout the maintenance task.,LOW,Maintenance,Delayed emergency response,Emergency access control effective,
281,Worker used a controlled pedestrian route around operating equipment.,LOW,Vehicle Movement,Vehicle-pedestrian collision,Traffic control effective,Line of Fire
282,Worker confirmed all combustible materials were removed before grinding.,LOW,Hot Work,Fire,Combustible control effective,Hot Work
283,Elevated work was postponed until an approved anchor point was available.,LOW,Work at Height,Fall from height,Fall protection planning effective,Working at Height
284,Worker confirmed underground services were marked before excavation.,LOW,Excavation,Utility strike,Utility identification effective,Ground Disturbance
285,The site reviewed high-risk activities during the weekly safety meeting.,LOW,Safety Management,Recurring hazards,Risk review effective,
286,The team confirmed the confined-space monitoring equipment remained operational.,LOW,Confined Space Entry,Hazardous atmosphere,Monitoring equipment control effective,Confined Space
287,Corrective actions from a previous safety observation were verified as closed.,LOW,Safety Management,Recurring hazard,Corrective-action verification effective,
288,The team reviewed previous near misses before starting a similar task.,LOW,Safety Planning,Recurring hazards,Learning from incidents effective,
289,The work permit was displayed at the worksite and matched the task.,LOW,Permit to Work,Task control,Permit control effective,
290,Gas detector was calibrated and tested before a confined-space entry.,LOW,Confined Space Entry,Hazardous atmosphere,Gas detector control effective,Confined Space
291,The elevated work area had compliant guardrails and toe boards.,LOW,Work at Height,Fall/falling object,Edge protection effective,Working at Height
292,Worker did not enter the excavation until stability was confirmed.,LOW,Excavation,Cave-in,Entry verification effective,Ground Disturbance
293,The team verified that corrective actions addressed the underlying hazard.,LOW,Safety Management,Recurring hazard,Corrective-action effectiveness review,
294,Worker completed a chemical compatibility check before transfer.,LOW,Chemical Handling,Chemical reaction/exposure,Chemical compatibility control effective,
295,The driver waited until the pedestrian route was clear before moving.,LOW,Vehicle Movement,Vehicle-pedestrian collision,Traffic control effective,Line of Fire
296,Crane operator stopped lifting when a worker approached the exclusion zone.,LOW,Lifting Operation,Dropped load,Stop-work control effective,Line of Fire
